name,icon
Inflation Rate,trending-up
Industrial Production Index,building-factory-2
Cost Of Construction Index,backhoe
Hotel Price Index,building-skyscraper
Import-Export Unit Value Index,scale
Producer Price Index,currency-dollar
Value Of Re-Export Of Non-Oil Goods,arrows-exchange
Value Of Total Non-Oil Export Goods,package-export
Value Of Exporters,users-group
Value Of Imports Of Non-Oil Goods,package-import
Value Of Foreign Trade Of Non-Oil Goods,world
Exports Of Non-Oil Goods,truck-delivery
External Balance On Non-Oil Goods,scale
Value Of Exports Of Non-Oil Goods,package
Oil Prices,droplet-filled
Business Licenses,license
Investing In Broadband,antenna-bars-5
Broadband Internet Access Tariff,signal-5g
Household Access To Computers / Internet,router
Value Of Importers,users
Foreign Trade,world
Building Permits,building
Building Completion,home-check
Road Network,road
Transportation,bus
Aircraft Movement,plane-departure
Post,mailbox
Passengers,users
Cargo,box
Ships Turnaround,ship
ICT Use,device-desktop
Workforce-ICT,devices
Small-Scale Industries,building-warehouse
ICT Investment,cpu
Securities Market,chart-candle
Banks,building-bank
E-Commerce Statistics,shopping-cart
Revenue-E Commerce,wallet
GDP At Current Prices-Annual,chart-line
Guest Nights,moon-stars
Length Of Stay,clock-hour-4
Hotel Establishments,building
Hotel Establishments Guests,door-enter
GDP At Constant Prices-Annual,chart-bar
Production-National Accounts,building-factory
GDP At Current Prices-Quarterly,chart-bar
GDP At Constant Prices-Quarterly,chart-dots-3
Intermediate Consumption-National Accounts,stack-2
Foreign Investment Stocks-Inward,pig-money
Traffic Accidents,car-crash
Culture and Heritage,building-castle
Workforce-Crime & Justice,gavel
NGOs,heart-handshake
Happiness,mood-happy
Agricultural Crops,plant-2
Agricultural Land,map
Livestock Health,stethoscope
Fisheries,fish
Livestock,pig
Commercial Farms,tractor
Air Emission,cloud
Electricity,bolt
Public Parks,trees
Irrigation,droplet
Foreign Trade Of Agricultural Commodities,plant
Temperature,temperature
Rainfall,cloud-rain
Relative Humidity,droplet-half-2
Atmospheric Pressure,gauge
Desalinated Water,droplet
Wind Speed,wind
Sunshine Time,sun
Solar Radiation,solar-panel
Marine Water,ripple
Renewable Energy,leaf
Wastewater,droplet-off
Oil,droplet-filled
Oil & Gas,gas-station
Oil Products,barrel
Water Resources,droplets
Health Status,heartbeat
Sports,ball-football
Tertiary Institutions,school
Education Infrastructure,building
Cause of Deaths,report-medical
Inpatients,bed
Literacy,book
Educational Attainment,certificate
Students-Higher Education,school
Outpatients,ambulance
Pupils,friends
Communicable Diseases,virus
Adult Education Centers,chalkboard
Continuous Education,books
Insurance Coverage,shield-check
Healthcare Professionals,stethoscope
Workforce-Education,briefcase
Physicians,stethoscope
Nurses,nurse
Dentists,dental
Gross Enrolment,user-check
Pharmacists,pill
Net Enrolment,user-plus
Forests,trees
Agricultural Practices-Plant,seeding
Blood Bank,droplet-heart
Health Infrastructure,building-hospital
"Professionals, Students And Parents",users-group
Completion Rate,circle-check
Hospitals,building-hospital
Pharmacies,medicine-syrup
Repetition Rate,repeat
Islamic Affairs,moon
Class Size,users
Nurseries,baby-carriage
Resident Population,users-group
Air Quality,wind
Non Hazardous Waste,trash
Hazardous Waste,alert-triangle
Participation Rates,chart-arrows-vertical
Births,baby-carriage
Deaths,grave-2
Waste Management Plants,recycle
Dependency Ratios,users
Employment Rates,briefcase
Marriages,heart
Environmental Protection Expenditure,coin
Unemployment Rates,user-off
Expenditure On Environmental Practices,leaf
Incidents,alert-octagon
Known Species,dna
Threatened Species,alert-circle
Natural Habitats,tree
Consumer Price Index,receipt
Buildings,building
Units,home
Natural Gas,flame
Digital Economy,device-laptop
Education Preference,brain
Senior Emiratis,old
GDP At Current Prices,chart-line
Students-Institute of Applied Technology,tools
Gross Output-National Accounts,chart-pie
Value Added-National Accounts,chart-arrows
Agricultural Practices-Livestock,horse
Foreign Trade Goods,package
